driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
NVMe WDS500G1X0E-00AFY0,SSD,465.8,52280,1,,,,2022,5
Seagate FireCuda 530 ZP4000GM30023,SSD,3600,52066,2,,,,2021,13
KINGSTON SKC3000S1024G,SSD,953.9,49829,3,,,,2021,42
NVMe Samsung 980 PRO with Heatsink 2TB,SSD,1800,49517,4,,,,2021,8
KINGSTON SFYRD2000G,SSD,1800,48995,5,,,,2021,33
WDC PC SN810 SDCPNRY-1T00,SSD,953.9,48300,6,209,231.1,0.22,2021,14
KINGSTON SKC3000D2048G,SSD,1900,47969,7,,,,2021,12
NVMe WD WD BLACK Gen4 SDCPNRZ-2T00-1106,SSD,1900,47781,8,,,,2022,5
Samsung 980 PRO with Heatsink 2TB,SSD,1800,47600,9,319.99,148.75,0.18,2021,50
PC SN810 NVMe WDC 1024GB,SSD,953.9,46253,10,,,,2022,5
Seagate FireCuda 530 ZP4000GM30013,SSD,3600,46124,11,,,,2021,8
NVMe PC SN810 NVMe WDC 1024GB,SSD,953.9,45228,12,,,,2021,41
Seagate FireCuda 530 ZP2000GM30013,SSD,1800,45096,13,,,,2021,77
NVMe Samsung 980 PRO with Heatsink 1TB,SSD,931.5,45074,14,,,,2022,5
Seagate FireCuda 530 ZP1000GM30013,SSD,931.5,44759,15,,,,2021,133
Corsair MP600 PRO XT,SSD,1800,44758,16,,,,2021,22
GIGABYTE GP-AG70S2TB,SSD,1800,44536,17,,,,2021,23
NVMe WDS100T1X0E-00AFY0,SSD,931.5,44383,18,,,,2021,12
WD BLACK SN850 Heatsink 1TB,SSD,931.5,43791,19,,,,2021,25
Samsung SSD 980 PRO with Heatsink 1TB,SSD,931.5,43393,20,,,,2022,22
NVMe Micron 3400 MTFDKBA1T0TFH,SSD,953.9,43256,21,,,,2022,40
Seagate FireCuda 530 ZP1000GM30023,SSD,931.5,43032,22,,,,2021,23
NVMe Micron 3400 NVMe 1024GB,SSD,953.9,42976,23,,,,2021,33
Micron 3400 NVMe 1024GB,SSD,953.9,42893,24,,,,2021,6
NVMe WD WD BLACK Gen4 SDCPNRY-1T00-1106,SSD,953.9,42315,25,,,,2021,9
